epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,689.278,1.8373,4.4464,1.68647,0.46958,0.08486,0.05245,0.02573,1.66069,4.17747,1.52329,0.000132087,0.000132087,0.000132087
2,1385.38,1.73816,3.53393,1.5539,0.28371,0.22843,0.14017,0.06744,1.75218,3.26537,1.66615,0.000260165,0.000260165,0.000260165
3,2022.05,1.7324,2.98816,1.54408,0.26638,0.32237,0.20865,0.10416,1.76288,3.03301,1.70398,0.000382963,0.000382963,0.000382963
4,2663.8,1.68836,2.63567,1.50891,0.40145,0.37909,0.29121,0.14853,1.70404,2.73918,1.67196,0.00037624,0.00037624,0.00037624
5,3589.8,1.64513,2.46401,1.5007,0.39287,0.37747,0.33379,0.17543,1.66161,2.60533,1.63097,0.00036832,0.00036832,0.00036832
6,4620.47,1.61403,2.26732,1.46238,0.4509,0.4275,0.41124,0.22063,1.64194,2.36816,1.57139,0.0003604,0.0003604,0.0003604
7,5466.46,1.60236,2.14155,1.46263,0.45225,0.45446,0.42689,0.23518,1.60024,2.29363,1.56256,0.00035248,0.00035248,0.00035248
8,6100.05,1.56935,2.05165,1.4537,0.45015,0.51659,0.48272,0.26428,1.62742,2.14875,1.5767,0.00034456,0.00034456,0.00034456
9,6723.86,1.5431,1.95987,1.44173,0.43783,0.51309,0.50441,0.28113,1.5819,2.073,1.53174,0.00033664,0.00033664,0.00033664
10,7347.2,1.52563,1.87724,1.42008,0.44144,0.5236,0.49875,0.27758,1.60709,2.05014,1.54046,0.00032872,0.00032872,0.00032872
11,7970.69,1.51759,1.80763,1.41414,0.4605,0.55683,0.53149,0.28164,1.63455,1.96052,1.59035,0.0003208,0.0003208,0.0003208
12,8593.54,1.49803,1.74324,1.41237,0.50876,0.62453,0.57737,0.32652,1.60082,1.85853,1.55456,0.00031288,0.00031288,0.00031288
13,9217.14,1.47328,1.67025,1.38864,0.56201,0.57657,0.56848,0.31762,1.56874,1.81779,1.54764,0.00030496,0.00030496,0.00030496
14,9841.01,1.47324,1.63891,1.39795,0.54439,0.60331,0.5804,0.32791,1.56736,1.82011,1.57484,0.00029704,0.00029704,0.00029704
15,10464.2,1.44916,1.59993,1.38042,0.53156,0.58766,0.57592,0.32486,1.57468,1.78343,1.57644,0.00028912,0.00028912,0.00028912
16,11087.5,1.4424,1.54853,1.38141,0.5342,0.65356,0.61432,0.3445,1.60489,1.7153,1.58685,0.0002812,0.0002812,0.0002812
17,11711.2,1.41266,1.47079,1.34692,0.63441,0.55443,0.61882,0.35902,1.57856,1.71243,1.557,0.00027328,0.00027328,0.00027328
18,12334.3,1.41739,1.45244,1.35147,0.6196,0.59262,0.62391,0.34824,1.59823,1.64409,1.53466,0.00026536,0.00026536,0.00026536
19,12957.5,1.40388,1.42472,1.34501,0.57456,0.58518,0.61108,0.34868,1.59188,1.66008,1.57105,0.00025744,0.00025744,0.00025744
20,13580.5,1.37467,1.3671,1.3267,0.66891,0.52394,0.61454,0.34297,1.60731,1.66516,1.57854,0.00024952,0.00024952,0.00024952
21,14204.8,1.3723,1.35507,1.33176,0.63145,0.62682,0.64147,0.36659,1.60617,1.59164,1.56441,0.0002416,0.0002416,0.0002416
22,14829.3,1.36202,1.32024,1.31818,0.57994,0.62189,0.61766,0.35167,1.59219,1.61491,1.58535,0.00023368,0.00023368,0.00023368
23,15453.2,1.34576,1.30566,1.30152,0.61588,0.60121,0.6153,0.34336,1.6263,1.6323,1.59911,0.00022576,0.00022576,0.00022576
24,16077.5,1.32745,1.27273,1.29872,0.65024,0.61573,0.66341,0.37309,1.58021,1.5262,1.56249,0.00021784,0.00021784,0.00021784
25,16700.5,1.32012,1.24681,1.3065,0.60307,0.66708,0.65193,0.36619,1.58502,1.52357,1.56758,0.00020992,0.00020992,0.00020992
26,17326,1.30307,1.20559,1.28063,0.59361,0.62808,0.6357,0.35779,1.6423,1.56217,1.61757,0.000202,0.000202,0.000202
27,17951.2,1.28487,1.17933,1.27422,0.60996,0.61042,0.63837,0.36653,1.62509,1.57553,1.63184,0.00019408,0.00019408,0.00019408
28,18576.8,1.28467,1.14638,1.26739,0.60636,0.64365,0.65227,0.36962,1.60972,1.53892,1.60414,0.00018616,0.00018616,0.00018616
29,19202.1,1.25507,1.12479,1.25261,0.61303,0.59423,0.62747,0.35512,1.62507,1.58043,1.60264,0.00017824,0.00017824,0.00017824
30,19827.6,1.25396,1.11216,1.24831,0.58004,0.65387,0.63171,0.3613,1.62579,1.54265,1.62027,0.00017032,0.00017032,0.00017032
31,20452.8,1.24178,1.09851,1.24056,0.6177,0.6368,0.65335,0.36758,1.6104,1.48443,1.5952,0.0001624,0.0001624,0.0001624
32,21077.6,1.23027,1.06692,1.23792,0.63256,0.57967,0.64327,0.3695,1.60913,1.5033,1.58291,0.00015448,0.00015448,0.00015448
33,21703.2,1.21937,1.07574,1.22924,0.59848,0.60976,0.63082,0.35702,1.61961,1.49897,1.61228,0.00014656,0.00014656,0.00014656
34,22330.2,1.19758,1.04147,1.22063,0.58172,0.65738,0.64723,0.35879,1.64635,1.51394,1.6355,0.00013864,0.00013864,0.00013864
35,22990.1,1.17312,1.02152,1.20163,0.5955,0.62224,0.62421,0.3481,1.62968,1.51202,1.64491,0.00013072,0.00013072,0.00013072
36,23668.5,1.16068,0.98318,1.19242,0.6605,0.60748,0.65469,0.36144,1.62014,1.45564,1.63192,0.0001228,0.0001228,0.0001228
37,24327,1.1724,1.01413,1.20031,0.61346,0.64112,0.64509,0.36149,1.63955,1.4722,1.65593,0.00011488,0.00011488,0.00011488
38,24989.5,1.15366,0.97069,1.1872,0.61016,0.61178,0.64075,0.36025,1.62395,1.50015,1.64222,0.00010696,0.00010696,0.00010696
39,25649.3,1.13981,0.96177,1.17818,0.64459,0.6226,0.64901,0.36456,1.62546,1.4673,1.63632,9.904e-05,9.904e-05,9.904e-05
40,26282.8,1.13764,0.95944,1.1835,0.57106,0.67572,0.64828,0.36395,1.63118,1.47564,1.64396,9.112e-05,9.112e-05,9.112e-05
41,26908.2,1.07979,0.86851,1.17722,0.59431,0.6156,0.6224,0.35205,1.65307,1.54108,1.68041,8.32e-05,8.32e-05,8.32e-05
42,27532.1,1.04022,0.81352,1.14656,0.61613,0.61332,0.63311,0.35621,1.6492,1.4845,1.68299,7.528e-05,7.528e-05,7.528e-05
43,28156.6,1.02377,0.80444,1.14161,0.63893,0.61934,0.63648,0.35544,1.63971,1.486,1.67482,6.736e-05,6.736e-05,6.736e-05
44,28780.3,1.00209,0.777,1.126,0.61537,0.63327,0.63614,0.35548,1.63292,1.49416,1.67444,5.944e-05,5.944e-05,5.944e-05
45,29402.8,1.00214,0.77248,1.12489,0.60701,0.63914,0.63713,0.3568,1.62381,1.48323,1.6712,5.152e-05,5.152e-05,5.152e-05
46,30023.5,0.9767,0.74691,1.11452,0.64976,0.5807,0.63252,0.35703,1.63655,1.50442,1.69491,4.36e-05,4.36e-05,4.36e-05
47,30643.4,0.97158,0.75247,1.11403,0.59792,0.64182,0.63866,0.35952,1.63607,1.48036,1.68357,3.568e-05,3.568e-05,3.568e-05
48,31262.9,0.96022,0.73848,1.09217,0.59251,0.64627,0.63581,0.35509,1.642,1.48281,1.70343,2.776e-05,2.776e-05,2.776e-05
49,31882,0.94591,0.72083,1.08259,0.60872,0.62282,0.63798,0.35916,1.6345,1.47736,1.69792,1.984e-05,1.984e-05,1.984e-05
50,32502.3,0.94379,0.71509,1.0921,0.60399,0.63455,0.63755,0.35877,1.64083,1.47359,1.70232,1.192e-05,1.192e-05,1.192e-05
